label,reading_1,reading_2,reading_3,reading_4,reading_5,reading_6,reading_7,reading_8,reading_9,reading_10,reading_11,reading_12,reading_13,reading_14,reading_15,reading_16,reading_17,reading_18,reading_19,reading_20,reading_21,reading_22,reading_23,reading_24,reading_25,reading_26,reading_27,reading_28,reading_29,reading_30,reading_31,reading_32,reading_33,reading_34,reading_35,reading_36,reading_37,reading_38,reading_39,reading_40,reading_41,reading_42,reading_43,reading_44,reading_45,reading_46,reading_47,reading_48,reading_49,reading_50,reading_51,reading_52,reading_53,reading_54,reading_55,reading_56,reading_57,reading_58,reading_59,reading_60,reading_61,reading_62,reading_63,reading_64,reading_65,reading_66,reading_67,reading_68,reading_69,reading_70,reading_71,reading_72,reading_73,reading_74,reading_75,reading_76,reading_77,reading_78,reading_79,reading_80,reading_81,reading_82,reading_83,reading_84,reading_85,reading_86,reading_87,reading_88,reading_89,reading_90,reading_91,reading_92,reading_93,reading_94,reading_95,reading_96,reading_97,reading_98,reading_99,reading_100,reading_101,reading_102,reading_103,reading_104,reading_105,reading_106,reading_107,reading_108,reading_109,reading_110,reading_111,reading_112,reading_113,reading_114,reading_115,reading_116,reading_117,reading_118,reading_119,reading_120,reading_121,reading_122,reading_123,reading_124,reading_125,reading_126,reading_127,reading_128,reading_129,reading_130,reading_131,reading_132,reading_133,reading_134,reading_135,reading_136,reading_137,reading_138,reading_139,reading_140,reading_141,reading_142,reading_143,reading_144,reading_145,reading_146,reading_147,reading_148,reading_149,reading_150,reading_151,reading_152,reading_153,reading_154,reading_155,reading_156,reading_157,reading_158,reading_159,reading_160,reading_161,reading_162,reading_163,reading_164,reading_165,reading_166,reading_167,reading_168
co2,669.2067039106146,590.425,526.7958333333333,583.1472222222222,692.9763888888889,522.3416666666667,493.5880721220527,486.62638888888887,487.0763888888889,483.5513888888889,483.8388888888889,481.07916666666665,483.2219140083218,483.3203883495146,484.009900990099,485.0097222222222,486.05833333333334,487.35833333333335,502.4277777777778,523.5839112343966,525.0277777777778,527.2111111111111,566.1472222222222,814.4083333333333,635.5236111111111,555.0666666666667,618.1595006934813,536.2708333333334,506.4513888888889,555.9819444444445,509.68888888888887,497.2416666666667,498.06944444444446,494.0,494.41805555555555,493.075,489.31388888888887,488.7875,490.3388888888889,489.0513888888889,488.622746185853,490.97222222222223,492.875,499.9125,509.01666666666665,508.24305555555554,513.5076282940361,517.3222222222222,514.9430555555556,528.4486111111111,573.3569444444445,578.0791666666667,543.4277777777778,498.0402219140083,491.8305555555556,484.8847222222222,502.21805555555557,539.6430555555555,514.7986111111111,481.85,480.2579750346741,482.35555555555555,485.84444444444443,487.5388888888889,490.37916666666666,502.69305555555553,507.7988904299584,516.0902777777778,573.7746870653685,628.2041666666667,648.3776520509193,750.4972222222223,701.2322670375521,635.124826629681,591.4,604.9554937413074,505.66434540389974,509.5152777777778,541.9470013947001,570.075208913649,544.8041666666667,522.5445682451253,486.4818941504178,485.50974930362116,484.1111111111111,485.4714086471409,490.4958217270195,496.59135285913527,500.6513888888889,518.2887029288703,524.4937062937063,632.3645251396648,594.8152777777777,538.7763888888888,500.74861111111113,505.5284327323162,624.7333333333333,535.7722222222222,580.9652777777778,567.8611111111111,496.5416666666667,484.5138888888889,480.7350901525659,479.92083333333335,482.1013888888889,484.9125,486.15694444444443,493.7708333333333,511.48333333333335,658.119278779473,651.3347222222222,683.6097222222222,654.5125,670.6444444444444,687.4583333333334,723.9625,614.5490196078431,583.2833333333333,614.8208333333333,505.0388888888889,500.95416666666665,531.6652777777778,566.7416666666667,564.7766990291262,539.9625,488.9847222222222,484.84722222222223,481.7708333333333,481.89722222222224,484.4868238557559,489.9222222222222,498.1600609756098,507.13956834532377,590.35,664.2402777777778,638.6083333333333,646.9306518723995,708.5458333333333,678.3958333333334,684.9972222222223,703.9861111111111,614.9819444444445,578.2722222222222,521.7877947295423,515.8791666666667,510.9277777777778,596.5972222222222,613.8833333333333,550.7708333333334,505.67083333333335,505.68099861303745,504.2861111111111,504.40833333333336,502.5833333333333,505.5486111111111,518.1861111111111,602.8222222222222,744.0027739251041,801.2402777777778,921.6916666666667,788.1,890.7875,763.7277777777778,701.0541666666667,590.0194444444444,592.93156424581,575.6094839609484,531.0486787204451
humidity,53.30359331476327,53.50023611111074,53.78740638002735,54.754472222222276,54.89888888888924,55.181527777777944,56.062916666666375,57.23579166666663,57.93491666666679,58.230694444444474,58.24730555555531,58.37384722222225,58.93079166666697,59.387500000000266,59.6007361111114,59.41487500000006,59.616588072121644,59.63134722222242,58.413611111111265,57.182152777777596,55.756444444444725,54.95937499999971,54.62727777777792,54.911624999999994,53.94090277777755,54.83495833333337,56.26718055555584,56.59129166666642,57.7841111111114,58.681819444444855,58.991830790568514,60.177416666666865,61.5366666666666,63.33405555555536,64.30144444444456,64.79872222222248,65.19330555555561,65.73890277777792,66.0167916666663,66.27537500000004,66.52183333333318,66.39552777777742,65.51384722222231,63.97636111111098,62.16281553398061,60.307180555555604,59.45577777777742,59.42758333333366,60.069611111110994,60.87295833333284,60.460875000000264,60.3534305555557,60.252055555555984,60.46568055555558,61.04587499999979,61.22237500000002,61.11958333333333,60.6338888888891,59.81013869625508,60.429305555555544,60.94999999999994,61.825874999999954,63.16666666666649,62.80208333333336,61.632416666666614,61.40816666666673,61.00174999999957,60.07126388888877,58.84054166666668,57.64872222222235,55.96173611111133,55.47386111111126,54.98980582524259,55.37577777777747,56.01112499999973,56.617249999999906,56.907033426183624,56.092681564245936,56.49530555555559,56.368277777777365,56.44520166898482,57.51692200557086,58.31540389972142,56.496587743732576,54.77314325452,55.37016689847023,57.08253481894161,58.733429394812816,59.13712500000013,58.178019525801645,57.065523012552106,56.23,55.30845188284514,56.9129305555554,57.97318055555567,59.40259722222246,60.61486823855776,60.83797222222246,60.95333333333331,60.96270833333351,60.79949999999996,60.470833333333886,61.074416666666885,62.01504166666712,62.36225000000028,62.55662500000032,62.60341666666663,62.619791666666345,62.45429166666656,61.800250000000105,60.447434119278505,57.93288888888923,56.49376388888918,55.81402777777801,55.873763888889,56.80363888888865,57.348999999999755,57.52258333333331,58.59356944444435,59.73649999999991,60.1114444444445,61.08662499999994,62.28308333333363,62.41083333333342,62.26263522884868,62.133833333333335,62.11262499999992,63.10500000000016,63.608374999999924,64.34001388888875,64.50084722222185,64.54666666666664,64.4616513761467,64.39658536585408,63.43329166666676,61.14484722222228,58.645875000000586,57.559763888888874,57.19338888888885,56.85991678224703,57.980097222222405,58.58030555555579,59.049708333333186,59.93015277777783,60.59369444444469,61.531166666666465,62.59029166666676,63.091083333333096,62.44329166666631,62.41725000000064,62.88458333333342,63.86240277777795,64.44833564493743,64.6169166666673,65.07322222222226,65.46665277777797,65.32837499999994,63.717875000000134,61.2812777777778,58.43197222222216,55.67644444444463,53.717319444444485,53.31486111111105,53.47171983356425,54.242166666666385,54.85370833333347,56.16234722222254,56.87264255911045
light,30.67966573816156,20.979166666666668,7.384188626907074,14.2,27.131944444444443,15.05,3.6166666666666667,3.533333333333333,3.425,3.577777777777778,3.466666666666667,3.4652777777777777,3.4680555555555554,3.6847222222222222,3.8319444444444444,4.222222222222222,5.84882108183079,10.843055555555555,12.026388888888889,12.5125,11.330555555555556,9.54861111111111,24.166666666666668,30.07638888888889,29.370833333333334,20.99861111111111,29.068055555555556,19.302777777777777,6.190277777777778,27.42222222222222,14.46740638002774,3.4097222222222223,3.5166666666666666,3.475,3.473611111111111,3.5527777777777776,3.6333333333333333,3.7055555555555557,3.676388888888889,3.908333333333333,4.786111111111111,7.4847222222222225,11.105555555555556,11.631944444444445,11.475728155339805,9.447222222222223,9.779166666666667,8.473611111111111,7.175,17.42222222222222,31.176388888888887,28.741666666666667,25.270833333333332,5.266666666666667,4.883333333333334,4.841666666666667,16.004166666666666,28.416666666666668,19.246879334257976,3.709722222222222,3.6347222222222224,3.7069444444444444,3.7805555555555554,4.013888888888889,5.281944444444444,5.854166666666667,8.276388888888889,25.393055555555556,16.461111111111112,23.96527777777778,19.55,29.533333333333335,16.091539528432733,17.893055555555556,11.998611111111112,27.345833333333335,5.259052924791086,4.789106145251397,20.116666666666667,27.641666666666666,25.947148817802503,17.74791086350975,3.498607242339833,3.413649025069638,3.670375521557719,3.7705146036161334,3.6963788300835656,5.845821325648415,10.056944444444444,12.07810320781032,12.694560669456067,36.5,7.2384937238493725,9.22638888888889,6.361111111111111,4.791666666666667,7.615811373092926,26.57638888888889,20.55,27.705555555555556,27.529166666666665,10.244444444444444,3.5319444444444446,3.504166666666667,3.7583333333333333,3.5694444444444446,3.6625,4.622222222222222,7.381944444444445,14.734722222222222,36.131761442441054,25.158333333333335,29.366666666666667,20.741666666666667,14.223611111111111,17.319444444444443,30.84861111111111,13.469444444444445,16.354166666666668,27.806944444444444,6.569444444444445,4.683333333333334,17.968055555555555,27.676388888888887,27.80998613037448,26.625,3.5597222222222222,3.5833333333333335,3.6083333333333334,3.725,3.7888888888888888,4.341666666666667,5.13914373088685,6.60832137733142,33.454166666666666,37.169444444444444,17.66111111111111,16.029166666666665,28.031944444444445,16.12898751733703,17.62361111111111,26.711111111111112,19.654166666666665,28.53611111111111,5.976388888888889,4.769444444444445,7.993055555555555,27.934722222222224,27.958333333333332,22.2375,3.751388888888889,3.673611111111111,3.7572815533980584,3.6791666666666667,3.720833333333333,5.7972222222222225,11.988888888888889,17.2,36.729166666666664,36.326388888888886,34.43611111111111,33.141666666666666,29.730555555555554,29.694868238557557,30.18611111111111,12.752777777777778,21.541666666666668,16.438108484005564
pir,14.47394540942928,3.7907608695652173,0.0,18.572222222222223,24.909620991253643,2.8688524590163933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.582959641255606,27.68388429752066,21.126582278481013,7.678851174934726,28.634110787172013,6.787798408488063,3.4236842105263157,8.626315789473685,1.6849315068493151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.809651474530831,9.878048780487806,7.448369565217392,9.183727034120736,0.0,0.0,0.0,1.8442622950819672,1.2880886426592797,2.073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8846153846153846,4.192934782608695,6.424802110817942,8.364089775561098,18.743243243243242,1.1246537396121883,2.3013698630136985,8.573232323232324,12.807142857142857,0.0,0.0,5.696476964769648,0.0,2.967032967032967,2.152173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.681462140992167,29.3808095952024,23.403374233128833,25.205787781350484,2.6151761517615175,0.0,0.0,0.0,0.0,0.0,25.934,4.981333333333334,13.11134903640257,4.188679245283019,5.312335958005249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8978102189781,15.993865030674847,14.41409691629956,2.3097826086956523,1.05,1.8442622950819672,8.557640750670242,1.8392370572207084,5.86436170212766,19.73722627737226,0.0,0.0,1.9285714285714286,2.569060773480663,2.078804347826087,5.266129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959899749373433,4.013513513513513,2.2255434782608696,1.367403314917127,8.459948320413437,8.722921914357682,5.226063829787234,20.405228758169933,5.2210242587601075,8.563829787234043,0.0,0.0,0.0,5.099737532808399,14.122171945701357,3.5648648648648646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1324324324324324,25.447863247863246,26.19047619047619,29.796610169491526,23.76923076923077,29.170096021947874,23.762589928057555
temperature,22.88675487465172,22.715527777777815,22.443633841886268,22.270805555555512,22.643152777777768,22.13509722222227,21.649291666666716,21.3715138888889,21.190763888888753,21.114236111111232,21.02972222222231,20.945722222222265,20.879263888889053,20.822944444444204,20.81066666666643,20.79093055555575,20.780208044382945,20.916277777777793,21.560097222222254,22.30666666666668,22.904069444444506,23.15019444444442,24.08729166666672,23.88577777777778,23.799263888888895,23.407722222222233,23.193347222222105,23.024194444444483,22.58229166666665,22.505166666666792,22.277087378640786,21.85851388888887,21.60250000000013,21.49584722222217,21.41101388888888,21.334236111111064,21.27848611111113,21.22277777777755,21.22706944444417,21.214861111111013,21.226361111111018,21.2984166666666,21.562249999999963,21.938750000000027,22.527558945908467,23.016000000000002,23.192805555555324,23.088138888888878,22.759749999999954,22.553305555555596,22.701805555555417,22.748944444444426,22.73130555555555,22.41159722222214,22.04986111111108,21.833708333333412,21.741083333333282,22.081527777777826,22.104202496532587,21.683680555555608,21.413291666666638,21.249152777777503,21.18740277777789,21.17461111111125,21.1824722222224,21.227055555555406,21.254944444444465,21.6942638888889,22.40855555555555,23.069347222222213,23.44665277777755,23.517291666666704,23.32625520110956,23.009819444444357,22.763347222222222,22.681500000000096,22.447855153203314,22.122932960893795,21.89320833333325,22.038444444444558,22.050264255911216,21.967005571030665,21.572757660167095,21.213509749303647,20.962976356050078,20.865410292072504,20.95399721448464,21.098606321839142,21.43397222222227,22.09200836820084,22.739093444909333,23.3,23.39260808926078,22.918861111111088,22.593555555555515,22.35552777777779,22.19041608876552,22.4228472222222,22.225194444444405,22.22022222222207,22.21988888888858,22.10273611111115,21.762263888888867,21.530500000000014,21.3949305555556,21.342097222222346,21.39109722222211,21.459847222222106,21.508597222222352,21.885180555555568,22.73206657420253,23.60670833333335,24.043805555555522,24.116263888889005,23.92455555555548,23.642805555555533,23.559666666666665,23.413597222222148,23.11250000000004,23.106222222222243,22.867569444444445,22.52122222222217,22.28477777777784,22.4060694444446,23.228113730929085,22.44380555555565,22.204402777777865,21.83645833333334,21.584013888888993,21.500250000000026,21.559111111111086,21.653750000000187,21.67025993883793,21.759268292683036,22.318444444444456,23.031791666666642,23.602263888888896,23.79262499999982,23.877402777777686,23.785464632454918,23.28194444444451,23.328486111111047,22.96788888888897,22.915208333333265,22.709875000000036,22.381763888888887,22.121638888888857,22.199333333333342,22.434374999999747,22.432874999999964,22.14037500000004,21.83609722222227,21.641650485437086,21.556250000000208,21.498652777777618,21.490402777777685,21.68012499999998,22.206124999999997,23.217750000000002,24.109861111111094,25.013777777777786,25.210638888889108,26.027388888888936,24.953300970873794,24.43043055555546,24.001902777777747,23.605499999999786,23.426759388038924
co2,469.7715877437326,452.59583333333336,413.94305555555553,400.7375,396.54583333333335,396.2527777777778,396.8599167822469,391.5472222222222,392.0833333333333,391.0111111111111,388.13194444444446,386.4277777777778,387.00970873786406,387.90694444444443,387.62916666666666,388.3875,388.76944444444445,388.97777777777776,394.3231622746186,414.3911234396671,416.2083333333333,412.5388888888889,417.9625,419.02259887005647,411.12361111111113,394.79334257975034,390.5284327323162,390.2263888888889,391.7972222222222,398.15555555555557,399.2708333333333,401.2972222222222,403.5228848821082,398.49444444444447,398.40833333333336,397.6,394.0027777777778,394.3569444444444,394.74444444444447,394.74479889042993,394.9888888888889,393.8597222222222,390.62361111111113,396.00138888888887,399.07916666666665,395.47018030513175,393.40416666666664,389.87083333333334,387.95,390.1972222222222,385.18194444444447,388.4625,393.4410540915395,391.2986111111111,392.4583333333333,388.4222222222222,385.8777777777778,386.95,387.2875,386.5700416088766,385.59583333333336,386.18888888888887,390.77222222222224,391.71866295264624,394.9776536312849,404.51944444444445,410.05833333333334,411.5833333333333,446.47222222222223,484.4819444444444,495.90972222222223,514.8973647711512,510.9209431345354,490.60555555555555,453.34583333333336,418.6277777777778,398.4375,408.3236111111111,413.1386962552011,408.7913769123783,406.85515320334264,396.99165507649514,392.91098748261476,389.22670375521557,389.8760445682451,390.24373259052925,393.05857740585776,397.7534818941504,398.81284916201116,409.74545454545455,411.6368715083799,486.2089136490251,464.4583333333333,421.47988904299586,388.9013888888889,390.60833333333335,391.75416666666666,398.02793296089385,393.8075313807531,389.4715672676838,387.8847222222222,385.6458333333333,385.1777777777778,383.1666666666667,386.7402777777778,388.24305555555554,389.59084604715673,396.1347222222222,403.1625,433.08472222222224,480.29583333333335,479.6763888888889,496.72222222222223,513.2857142857143,517.7152777777778,501.7375,473.7944444444444,431.3930555555556,400.5388888888889,394.57142857142856,396.30833333333334,397.29027777777776,393.6875,392.19166666666666,392.40694444444443,388.7972222222222,388.03190013869624,387.6777777777778,387.98055555555555,389.2111111111111,393.65694444444443,401.11764705882354,410.2834757834758,416.5416666666667,463.55555555555554,490.3902777777778,497.84444444444443,503.6834030683403,506.69305555555553,498.0,478.2763888888889,463.375,423.5541666666667,411.87083333333334,411.7875,408.2080443828017,418.7402777777778,419.72777777777776,410.99583333333334,407.65,409.75138888888887,409.53194444444443,409.42302357836337,409.68333333333334,410.78025034770513,416.95549374130735,473.2138888888889,496.4819444444444,508.8208333333333,502.43966712898754,497.8041666666667,492.8152777777778,473.6486111111111,461.9611111111111,446.03194444444443,426.1747572815534,422.2851182197497,411.875
humidity,50.26454923717045,51.517055555555736,52.08599999999988,52.86586111111075,53.36299999999993,53.68263888888857,53.98166435506223,54.44693055555526,54.88043055555499,55.16897222222166,55.31963888888877,55.505624999999995,55.995166666667,56.47273611111065,56.86112499999984,56.91572222222261,57.000013888888965,56.67165048543679,54.84802777777758,52.57745833333344,50.13430555555586,48.36258333333327,47.19116666666684,46.86516666666627,47.349791666666746,48.77604166666661,50.25880555555561,51.61979166666661,53.231886269070614,54.60545833333328,55.373083333333405,56.201194444444496,57.2197499999998,58.83944444444388,59.98495833333369,60.644625000000076,61.16475000000004,61.76083333333345,62.283375000000234,62.73568654646273,62.98220833333322,62.819583333333654,61.662375,59.69913888888916,56.97636111111114,54.16990277777767,52.50070833333341,52.13552777777815,52.57361111111116,53.60476388888897,54.18876560332891,55.19823611111111,56.31215277777723,57.094777777777885,57.67300000000009,57.79741666666647,57.70437499999993,58.00116666666662,58.22547222222233,58.50944444444451,58.599333333333306,59.0634676258992,60.022662968099645,60.00406944444426,59.02611111111145,58.62381944444468,57.99444444444453,56.93577777777775,54.7699166666664,52.7025833333333,52.031472222221865,52.939541666666486,54.77675450762839,56.29834261838398,56.38298611111115,55.69646731571604,55.698319444444586,54.56445833333304,54.150833333333466,54.19415041782693,54.78045961002795,56.05552155771897,56.70108484005563,54.878942976355845,52.866392757659966,52.83391910739185,54.12082402234665,55.54583565459652,56.10069832402218,55.20731468531479,53.547263888888835,58.258839160838946,59.32304166666697,58.804083333333296,58.79508333333317,59.2738472222221,59.37604166666654,59.33433333333347,59.14708333333314,59.22629166666657,59.21571428571399,59.30208333333382,59.7209861111108,59.94920833333319,60.15322157434417,60.41086713286722,60.598333333332704,60.49218055555593,59.627388888889115,57.2538333333333,54.31886111111084,54.260180305131776,56.25184466019457,57.768222222222356,58.97572222222209,58.969041666666676,58.26943055555632,57.86870833333313,57.927249999999944,58.50031944444442,59.14980555555581,59.76575000000026,60.24141666666635,60.6769209431353,60.99720833333317,61.07929166666664,61.26320833333342,61.22620833333322,61.60516666666674,61.9549583333328,62.3073749999992,62.32471124620102,62.23368876080717,61.708333333333435,59.518266296810125,56.34676388888906,56.38501388888876,58.68599999999955,60.16661111111084,60.69997222222204,60.28484722222236,59.27240277777812,58.87701388888851,59.269083333333754,59.67236111111109,60.11826629681061,60.39269444444442,60.64095833333309,61.22300000000024,61.68422809457574,62.108208333333174,62.37191666666673,62.48295833333342,62.86108333333353,63.20824999999978,63.00662500000015,60.760554785020894,57.026472222222054,54.57466666666675,54.52986111111158,55.12140277777823,55.58401388888869,57.261652777777854,59.30329166666622,58.85628571428577,57.470291666666675,56.72196105702341,56.4770457697639
light,132.75312066574202,101.46388888888889,20.01527777777778,7.648611111111111,3.2930555555555556,3.3375,3.3148404993065186,3.261111111111111,3.2694444444444444,3.3069444444444445,3.223611111111111,3.323611111111111,3.2819444444444446,3.3361111111111112,4.144444444444445,15.241666666666667,42.858333333333334,185.94174757281553,233.44166666666666,262.0138888888889,249.83194444444445,247.1611111111111,192.49027777777778,157.52777777777777,133.64166666666668,91.90833333333333,21.497222222222224,6.566666666666666,3.3717059639389735,3.3666666666666667,3.2888888888888888,3.2708333333333335,3.4541666666666666,3.2555555555555555,3.348611111111111,3.25,3.4652777777777777,3.4791666666666665,4.101388888888889,10.183079056865465,31.355555555555554,76.24166666666666,167.95,219.07777777777778,268.67083333333335,247.50277777777777,184.59027777777777,164.69027777777777,119.7625,98.5736111111111,25.73370319001387,8.747222222222222,3.3680555555555554,3.361111111111111,3.3944444444444444,3.3333333333333335,3.3986111111111112,3.4555555555555557,3.3916666666666666,3.352777777777778,3.3152777777777778,3.3453237410071943,4.058252427184466,10.169444444444444,34.294444444444444,44.77916666666667,93.91388888888889,237.32083333333333,271.47083333333336,249.17361111111111,203.06944444444446,163.55277777777778,135.15395284327323,101.91782729805014,18.022222222222222,6.770514603616133,3.3583333333333334,3.297222222222222,3.3305555555555557,3.284122562674095,3.2743732590529246,3.2837273991655076,3.2809457579972183,3.399165507649513,3.285515320334262,3.311018131101813,5.164804469273743,44.65181058495822,158.31843575418995,207.65594405594405,240.48333333333332,125.3104895104895,75.57916666666667,14.270833333333334,4.644444444444445,3.390277777777778,3.359722222222222,3.3583333333333334,3.363888888888889,3.3,3.319001386962552,3.375,3.3722222222222222,3.2777777777777777,3.3556851311953353,5.793006993006993,21.125,71.05694444444444,200.65972222222223,251.66944444444445,273.35833333333335,270.60471567267683,239.4521497919556,188.81944444444446,128.50555555555556,113.57638888888889,81.26666666666667,18.666666666666668,4.081944444444445,3.3555555555555556,3.436111111111111,3.345833333333333,3.2708333333333335,3.4701803051317612,3.326388888888889,3.325,3.276388888888889,3.3819444444444446,3.4097222222222223,5.311111111111111,16.330555555555556,30.703647416413375,59.414985590778095,170.1652777777778,254.10818307905686,271.0763888888889,240.82777777777778,188.3375,152.56944444444446,124.02361111111111,73.76666666666667,13.3,4.472222222222222,3.3208333333333333,3.3819444444444446,3.420249653259362,3.3986111111111112,3.3875,3.376388888888889,3.4061196105702365,3.3402777777777777,3.515277777777778,3.423611111111111,6.791666666666667,39.86805555555556,152.79861111111111,243.72676837725382,274.84444444444443,292.1375,285.1513888888889,249.6,194.21944444444443,157.49027777777778,131.96805555555557,79.91285714285715,13.641666666666667,4.397774687065368,3.3176144244105408
pir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3628808864265929,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407310704960835,0.0,0.0,0.0,0.0,0.0,0.0
temperature,23.811539528432746,23.34723611111119,23.080708333333277,22.83454166666674,22.754541666666615,22.662527777777807,22.49769764216363,22.401375000000016,22.278222222222215,22.17454166666656,22.05770833333349,21.94419444444441,21.847986111111062,21.772305555555565,21.696111111111176,21.625763888889168,21.652708333333397,21.964077669902945,22.96558333333334,24.19344444444446,25.277902777777747,25.92795833333334,26.29908333333328,26.264861111111063,25.928277777777794,25.375569444444448,24.878374999999966,24.43868055555559,23.981317614424363,23.612527777777803,23.362458333333375,23.133083333333374,22.92855555555556,22.77781944444444,22.64333333333338,22.54902777777812,22.462472222222296,22.374027777777975,22.301236111111375,22.243578363384007,22.263263888889092,22.376277777777656,22.830472222222216,23.453402777777793,24.498499999999982,25.453805555555512,25.955625000000015,25.88498611111102,25.510055555555493,25.03770833333335,24.6028294036061,24.16863888888891,23.75920833333334,23.411888888888875,23.126444444444495,22.934638888888813,22.7312083333333,22.580527777777853,22.443458333333176,22.333444444444364,22.231652777777793,22.150187050359452,22.133439667129075,22.118305555555636,22.14115277777763,22.207708333333105,22.346694444444456,22.8394861111111,24.02730555555554,24.783152777777772,24.607416666666627,23.95931944444442,23.096629680998625,22.60322670375519,22.722416666666692,22.909304589707858,22.98816666666655,22.958583333333262,22.804763888888925,22.65143454038995,22.477855153203308,22.32646731571633,22.19969401947153,22.13410292072331,22.016244784422693,21.91980474198035,21.889273743016584,21.94784122562678,22.312751396648018,23.10613986013988,24.111611111111156,22.61327272727275,22.380166666666586,22.62147222222225,22.827402777777834,22.81648611111085,22.866333333333113,22.856166666666766,22.780361111111212,22.688180555555466,22.603814147017985,22.500972222222035,22.3891666666666,22.273736111111113,22.187944606413954,22.1365874125872,22.147416666666686,22.220874999999946,22.70940277777779,23.85097222222222,24.8226527777778,24.56493758668517,23.838363384188632,23.299583333333302,23.02656944444437,23.069833333333307,23.398708333333254,23.612999999999914,23.674291666666647,23.523347222222224,23.325972222222262,23.1876111111111,23.037791666666674,22.91178918169201,22.80383333333339,22.692847222222227,22.61150000000006,22.521444444444434,22.45566666666678,22.413652777777592,22.38994444444436,22.423723404255398,22.521988472622514,22.791999999999998,23.655367545076242,24.534694444444458,24.073430555555596,23.181513888888887,22.707472222222222,22.54858333333341,22.83509722222226,23.23336111111116,23.420569444444627,23.346277777777797,23.215666666666717,23.105020804438237,23.010861111110994,22.894083333333324,22.772097222222147,22.651571627260164,22.544013888888994,22.438208333333282,22.35249999999993,22.28486111111136,22.285986111111143,22.517388888888892,23.45714285714284,24.57902777777774,24.949027777777747,24.620152777777765,24.294791666666587,23.993611111111115,23.361347222222193,22.708930555555373,22.942542857142858,23.452694444444457,23.763463143254324,23.767642163661577
